waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance
1968,365,814,192.8,0,92.92,2160,281.5,8558,68.1,6.7,22.5,0.199,0.0352,0.391,0,0,61,0,0,0.17,0.516,0.45,0.19,0.24,0.12,0,61,0.16712328767123288,45.6,0.098,0.33,0.67,12,0.7728813559322034
1969,365,1019,192.8,43,116.3,1563,337.2,4991,49.3,6.13,22.7,0.202,0.0423,0.433,0,0,0,0,0,0,0.646,0.47,0.16,0.34,0.036,0,0,0,26.6,0.12,0.46,0.54,20.7,0.02901023890784982
1970,365,994.2,192.8,41.91,113.5,1086,321.2,3153,34.2,5.26,20.3,0.229,0.0716,0.467,0,0,0,0,0,0,0.631,0.4,0.15,0.28,0.17,0,0,0,13.9,0.15,0.59,0.41,29.1,0.050246913580246834
1971,366,968.9,192.8,35.8,110.3,787.8,276.2,1856,24.9,4.77,18.3,0.249,0.0798,0.505,0,0,0,0,0,0,0.614,0.3,0.21,0.24,0.24,0,0,0,6.6,0.19,0.73,0.27,38.9,0.08148148148148149
1972,365,825.2,192.8,24.42,94.2,592.6,228.7,1241,18.7,3.87,14.8,0.26,0.101,0.516,0,0,0,0,0,0,0.523,0.2,0.22,0.25,0.34,0,0,0,3.9,0.21,0.79,0.21,44.1,0.7180451127819547
1973,365,953.3,192.8,24.61,108.8,1126,208.1,2854,35.5,5.29,20.1,0.243,0.0598,0.532,0,0,0,0,0,0,0.605,0.44,0.11,0.15,0.3,0,0,0,15.4,0.15,0.57,0.43,26.9,0.10211267605633811
1974,365,874.9,192.8,0,99.88,1612,216.8,5518,50.8,6.26,20.9,0.233,0.0438,0.472,0,0,9,0,0,0.025,0.555,0.45,0.12,0.18,0.26,0,9,0.024657534246575342,29.9,0.12,0.41,0.59,17.2,0.4155172413793101
1975,366,868.9,192.8,0,98.92,1583,239.5,5537,50.1,6.24,20.3,0.229,0.0435,0.459,0,0,3,0,0,0.0082,0.551,0.4,0.15,0.28,0.17,0,3,0.00821917808219178,29.8,0.12,0.41,0.59,17.3,0.4954545454545457
1976,365,998.6,192.8,44.89,114,1143,337.2,2845,36,5.64,20.7,0.223,0.0755,0.42,0,0,0,0,0,0,0.633,0.4,0.14,0.42,0.038,0,0,0,15.3,0.16,0.57,0.43,27.7,0.046416382252559694
1977,365,908.5,192.8,0,103.7,1899,273.3,6342,59.9,6.47,23.4,0.196,0.0435,0.424,0,0,38,0,0,0.1,0.576,0.53,0.13,0.18,0.15,0,38,0.10410958904109589,36.5,0.11,0.39,0.61,15.2,0.2478873239436619
1978,365,1052,192.8,43.99,120,1498,341.6,5397,47.3,6.23,23,0.199,0.0547,0.431,0,0,0,0,0,0,0.667,0.46,0.19,0.33,0.019,0,0,0,24.3,0.13,0.49,0.51,22.2,0.0008532423208191114
1979,366,1041,192.8,39.38,118.5,1317,313.5,3065,41.6,5.68,22.3,0.211,0.062,0.44,0,0,0,0,0,0,0.66,0.46,0.15,0.28,0.11,0,0,0,19.3,0.14,0.54,0.46,25,0.010238907849829351
1980,365,958.9,192.8,33.81,109.5,1159,283.2,3456,36.6,5.69,20,0.237,0.0608,0.476,0,0,0,0,0,0,0.608,0.38,0.16,0.28,0.18,0,0,0,16.6,0.16,0.55,0.45,26.2,0.09382716049382717
1981,365,816.8,192.8,27.61,93.24,599,242.4,1435,18.9,3.98,14.7,0.266,0.0881,0.487,0,0,0,0,0,0,0.518,0.2,0.19,0.27,0.33,0,0,0,4.2,0.21,0.78,0.22,43.2,0.7496240601503763
1982,365,868.4,188.3,22.58,99.13,616.1,220.7,1140,19.4,3.9,15.5,0.252,0.111,0.535,0,0,0,0,0,0,0.551,0.23,0.23,0.23,0.31,0,0,0,3.9,0.2,0.8,0.2,44.8,0.5008196721311478
1983,366,824.7,192.8,25.51,93.88,658.1,211.9,1780,20.8,3.75,15.4,0.255,0.0727,0.458,0,0,0,0,0,0,0.523,0.24,0.16,0.23,0.37,0,0,0,5.4,0.18,0.74,0.26,39.6,0.7199248120300751
1984,365,871,192.8,23.76,99.43,733.1,201.4,1930,23.1,4.31,16.6,0.265,0.0784,0.534,0,0,0,0,0,0,0.552,0.28,0.16,0.2,0.37,0,0,0,6.5,0.19,0.72,0.28,37.7,0.47159090909090895
1985,365,792.4,192.8,23.62,90.45,756.4,203.8,3038,23.9,4.36,15.3,0.273,0.0511,0.526,0,0,0,0,0,0,0.503,0.26,0.13,0.21,0.4,0,0,0,8.6,0.18,0.64,0.36,33.2,0.8462311557788944
1986,365,940.4,192.8,26.94,107.3,801.3,239.5,2073,25.3,4.53,18,0.246,0.0737,0.512,0,0,0,0,0,0,0.596,0.3,0.2,0.27,0.22,0,0,0,7.3,0.18,0.71,0.29,37.2,0.14753521126760585
1987,366,859.2,192.8,25.66,97.82,779.5,223.4,2471,24.7,4.59,16.7,0.27,0.0608,0.512,0,0,0,0,0,0,0.545,0.34,0.066,0.24,0.35,0,0,0,8,0.19,0.68,0.32,34.8,0.5592485549132946
1988,365,877.1,192.8,24.61,100.1,1334,208.1,3835,42.1,5.85,19.5,0.246,0.0628,0.505,0,0,0,0,0,0,0.556,0.41,0.099,0.21,0.28,0,0,0,22.6,0.14,0.46,0.54,20.8,0.38645833333333285
1989,365,773,168.6,26.95,88.24,545.3,211.9,1026,17.2,3.51,13.7,0.257,0.112,0.449,0,0,0,0,0,0,0.49,0.18,0.22,0.19,0.41,0,0,0,3.5,0.2,0.8,0.2,44.9,0.8991758241758243
1990,365,814.2,192.8,0,92.94,775,201.4,2321,24.4,3.94,16.1,0.254,0.0784,0.482,0,4,0,0,0.011,0,0.516,0.3,0.099,0.21,0.38,0,4,0.010958904109589041,8.3,0.16,0.66,0.34,33.4,0.7711864406779658
1991,366,706.7,154.6,22.1,80.45,492.9,172.6,919.2,15.6,3.3,12.3,0.259,0.111,0.417,0,0,0,0,0,0,0.448,0.036,0.33,0.22,0.41,0,0,0,3.3,0.21,0.79,0.21,45.3,0.9527996070726915
1992,365,795.7,192.8,24.67,90.83,878.9,163.3,3612,27.7,4.19,16.2,0.238,0.0595,0.457,0,0,0,0,0,0,0.505,0.33,0.071,0.23,0.37,0,0,0,11.5,0.15,0.58,0.42,28.7,0.8379396984924621
