WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1966,365,886.1,193.1,31.07,101.2,975.5,266.8,3452,30.8,5.06,18.3,0.247,0.0447,0.493,0,0,0,0,0,0,0.562,0.37,0.13,0.25,0.25,0,0,0,12.5,0.16,0.59,0.41,28.8
1967,366,858.4,190.2,0,97.72,1845,256.7,5513,58.3,6.41,21.9,0.215,0.0373,0.453,0,0,7,0,0,0.019,0.544,0.48,0.11,0.3,0.12,0,7,0.019178082191780823,36.4,0.11,0.38,0.62,14.7
1968,365,780.7,192.9,0,89.12,2149,281.3,8540,67.8,6.73,22.1,0.204,0.0359,0.391,0,0,60,0,0,0.16,0.495,0.47,0.16,0.25,0.11,0,60,0.1643835616438356,45.7,0.099,0.33,0.67,11.5
1969,365,976.8,191.7,41.62,111.5,1539,335.5,4874,48.5,6.13,22.3,0.207,0.0435,0.436,0,0,0,0,0,0,0.619,0.48,0.14,0.35,0.033,0,0,0,26.2,0.13,0.46,0.54,20.1
1970,365,953.6,192.1,40.84,108.9,1076,320.2,3139,33.9,5.31,19.9,0.237,0.0716,0.473,0,0,0,0,0,0,0.605,0.42,0.12,0.3,0.16,0,0,0,14,0.16,0.59,0.41,28.1
1971,366,932.5,192.8,35.04,106.2,780.1,275.9,1881,24.7,4.76,18,0.253,0.0787,0.511,0,0,0,0,0,0,0.591,0.31,0.2,0.28,0.21,0,0,0,6.7,0.19,0.73,0.27,37.8
1972,365,796.9,192.7,23.93,90.97,579.4,229.4,1208,18.3,3.73,14.5,0.259,0.102,0.514,0,0,0,0,0,0,0.505,0.22,0.19,0.27,0.31,0,0,0,3.8,0.2,0.79,0.21,43.5
1973,365,919.1,191.8,24.27,104.9,1117,209.3,2840,35.2,5.3,19.8,0.246,0.0599,0.528,0,0,0,0,0,0,0.583,0.45,0.09,0.17,0.29,0,0,0,15.4,0.15,0.56,0.44,26.1
1974,365,845.6,193.8,0,96.52,1596,220.5,5415,50.3,6.26,20.7,0.236,0.0446,0.476,0,0,7,0,0,0.019,0.536,0.45,0.11,0.19,0.25,0,7,0.019178082191780823,29.6,0.12,0.41,0.59,16.8
1975,366,833.7,189.6,0,94.91,1561,239.6,5434,49.4,6.25,20,0.234,0.0443,0.459,0,0,3,0,0,0.0082,0.529,0.41,0.12,0.3,0.17,0,3,0.00821917808219178,29.4,0.13,0.4,0.6,16.9
1976,365,958.5,193.6,43.45,109.4,1133,335.5,2831,35.7,5.64,20.4,0.227,0.0764,0.427,0,0,0,0,0,0,0.608,0.41,0.12,0.43,0.036,0,0,0,15.3,0.16,0.57,0.43,26.8
1977,365,877.5,191.8,0,100.2,1882,273.8,6348,59.4,6.47,23.2,0.199,0.0443,0.423,0,0,37,0,0,0.1,0.556,0.55,0.12,0.21,0.12,0,37,0.10136986301369863,36.2,0.11,0.39,0.61,14.8
1978,365,1009,192.9,42.24,115.2,1480,338.3,5326,46.7,6.23,22.6,0.204,0.0554,0.443,0,0,0,0,0,0,0.64,0.48,0.16,0.34,0.016,0,0,0,24.1,0.13,0.48,0.52,21.6
1979,366,999.3,192.8,37.98,113.8,1304,311.8,3068,41.2,5.71,22,0.217,0.0624,0.445,0,0,0,0,0,0,0.634,0.47,0.13,0.31,0.093,0,0,0,19.2,0.14,0.53,0.47,24.3
1980,365,920,191.8,33.12,105,1151,283.6,3452,36.3,5.69,19.7,0.242,0.0609,0.475,0,0,0,0,0,0,0.583,0.41,0.12,0.33,0.14,0,0,0,16.6,0.16,0.54,0.46,25.3
1981,365,789.5,193.7,27.15,90.13,588.6,243.3,1437,18.6,3.88,14.5,0.266,0.0873,0.485,0,0,0,0,0,0,0.501,0.21,0.18,0.29,0.32,0,0,0,4.1,0.21,0.78,0.22,42.4
1982,365,835,181.5,22.3,95.32,605.6,222.3,1117,19.1,3.9,15.2,0.255,0.114,0.531,0,0,0,0,0,0,0.53,0.25,0.2,0.27,0.28,0,0,0,3.9,0.2,0.8,0.2,43.7
1983,366,795.6,193.7,24.91,90.57,652.8,212.1,1808,20.6,3.74,15.2,0.256,0.0716,0.457,0,0,0,0,0,0,0.505,0.26,0.13,0.25,0.36,0,0,0,5.4,0.18,0.74,0.26,38.6
1984,365,840.8,193.7,23.25,95.99,727.8,199.1,1953,23,4.31,16.3,0.267,0.0772,0.534,0,0,0,0,0,0,0.533,0.29,0.15,0.23,0.34,0,0,0,6.7,0.19,0.71,0.29,36.6
1985,365,765.5,192,22.39,87.38,748.9,201.2,3050,23.6,4.3,15.1,0.273,0.0511,0.526,0,0,0,0,0,0,0.485,0.27,0.12,0.23,0.38,0,0,0,8.5,0.18,0.64,0.36,32.4
1986,365,902.2,191.4,26.3,103,793.3,239.6,2077,25,4.53,17.6,0.25,0.0733,0.513,0,0,0,0,0,0,0.572,0.32,0.18,0.28,0.22,0,0,0,7.4,0.18,0.7,0.3,36.1
1987,366,832.8,193.7,25.13,94.81,773.6,224.7,2467,24.5,4.57,16.5,0.27,0.0614,0.513,0,0,0,0,0,0,0.528,0.35,0.055,0.27,0.32,0,0,0,8,0.19,0.67,0.33,34
1988,365,840.8,193.8,24.27,95.98,1328,209.3,3812,41.9,5.87,19.3,0.25,0.0629,0.511,0,0,0,0,0,0,0.533,0.41,0.09,0.23,0.26,0,0,0,22.6,0.14,0.46,0.54,20.1
1989,365,744.4,165.6,26.34,84.98,534.8,212.1,1028,16.9,3.51,13.4,0.259,0.114,0.449,0,0,0,0,0,0,0.472,0.25,0.16,0.21,0.39,0,0,0,3.5,0.21,0.79,0.21,44
1990,365,790.1,193.8,21.87,90.19,771,199.1,2294,24.3,3.92,15.9,0.253,0.0772,0.487,0,0,0,0,0,0,0.501,0.31,0.093,0.23,0.36,0,0,0,8.4,0.16,0.65,0.35,32.5
1991,366,674.5,153.4,22.07,76.78,479.1,175,905.4,15.2,3.28,11.9,0.262,0.118,0.411,0,0,0,0,0,0,0.428,0.077,0.29,0.24,0.4,0,0,0,3.3,0.22,0.78,0.22,44.4
1992,365,769,193.7,23.61,87.78,873.3,163.9,3573,27.5,4.17,16,0.239,0.0595,0.457,0,0,0,0,0,0,0.488,0.35,0.044,0.25,0.36,0,0,0,11.5,0.15,0.58,0.42,28
