date,waterYear,waterMonth,energy
1999-03-18,1998,6,3768.710289127499
1999-03-19,1998,6,3854.416852632934
1999-03-20,1998,6,3958.860488194628
1999-03-21,1998,6,4156.162159095803
1999-03-22,1998,6,4275.196268056173
1999-03-23,1998,6,4432.05040890877
1999-03-24,1998,6,4589.146945585559
1999-03-25,1998,6,4627.200000000001
1999-03-26,1998,6,4627.200000000001
1999-03-27,1998,6,4627.200000000001
1999-03-28,1998,6,4625.073944311132
1999-03-29,1998,6,4588.1794565158025
1999-03-30,1998,6,4562.924845542414
1999-03-31,1998,6,4543.130245219573
1999-04-01,1998,7,4519.670361532336
1999-04-02,1998,7,4505.962072505628
1999-04-03,1998,7,4492.926753044103
1999-04-04,1998,7,4474.583615668492
1999-04-05,1998,7,4456.121141195561
1999-04-06,1998,7,4437.547575204097
1999-04-07,1998,7,4418.86298132135
1999-04-08,1998,7,4405.454741455711
1999-04-09,1998,7,4391.991076974871
1999-04-10,1998,7,4378.4720109510645
1999-04-11,1998,7,4370.340199211586
1999-04-12,1998,7,4367.618845897267
1999-04-13,1998,7,4364.905738453863
1999-04-14,1998,7,4362.184532860671
1999-04-15,1998,7,4364.905738453863
1999-04-16,1998,7,4367.618845897267
1999-04-17,1998,7,4375.766782181411
1999-04-18,1998,7,4383.890861196533
1999-04-19,1998,7,4397.386135084778
1999-04-20,1998,7,4410.825997748113
1999-04-21,1998,7,4429.5499791359725
1999-04-22,1998,7,4448.171135672403
1999-04-23,1998,7,4466.681227915093
1999-04-24,1998,7,4485.080192460902
1999-04-25,1998,7,4508.564429364124
1999-04-26,1998,7,4535.078307283263
1999-04-27,1998,7,4561.382795744346
1999-04-28,1998,7,4586.637019278301
1999-04-29,1998,7,4612.1573339166525
1999-04-30,1998,7,4627.200000000001
1999-05-01,1998,8,4627.200000000001
1999-05-02,1998,8,4587.328315920576
1999-05-03,1998,8,4486.8733356693465
1999-05-04,1998,8,4374.853044355275
1999-05-05,1998,8,4252.140584007462
1999-05-06,1998,8,4146.857080310561
1999-05-07,1998,8,4040.547462084059
1999-05-08,1998,8,3933.147431469013
1999-05-09,1998,8,3838.197012470935
1999-05-10,1998,8,3744.152655360084
1999-05-11,1998,8,3873.138265353005
1999-05-12,1998,8,3785.6292615288467
1999-05-13,1998,8,3698.500378058633
1999-05-14,1998,8,3470.4000000000005
1999-05-15,1998,8,3470.4000000000005
1999-05-16,1998,8,3470.4000000000005
1999-05-17,1998,8,3470.4000000000005
1999-05-18,1998,8,3428.6384959692887
1999-05-19,1998,8,3373.647844766714
1999-05-20,1998,8,3320.266918065672
1999-05-21,1998,8,3268.6131900570863
1999-05-22,1998,8,3217.6432107957494
1999-05-23,1998,8,3169.4647510740974
1999-05-24,1998,8,3124.916028596923
1999-05-25,1998,8,3085.4228871318755
1999-05-26,1998,8,3057.181956307025
1999-05-27,1998,8,2997.8178013770967
1999-05-28,1998,8,2938.718107553972
1999-05-29,1998,8,2879.453539394324
1999-05-30,1998,8,2817.4187407839736
1999-05-31,1998,8,2755.2170024561146
1999-06-01,1998,9,2852.3189690694257
1999-06-02,1998,9,2795.0327274065644
1999-06-03,1998,9,2737.6137727799824
1999-06-04,1998,9,2682.7618483644064
1999-06-05,1998,9,2633.197389588061
1999-06-06,1998,9,2581.738144692391
1999-06-07,1998,9,2532.4984015756013
1999-06-08,1998,9,2485.519492187086
1999-06-09,1998,9,2443.366193364349
1999-06-10,1998,9,2313.6000000000004
1999-06-11,1998,9,2313.6000000000004
1999-06-12,1998,9,2313.6000000000004
1999-06-13,1998,9,2313.6000000000004
1999-06-14,1998,9,2284.6104180484126
1999-06-15,1998,9,2244.5831137443192
1999-06-16,1998,9,2204.3632532132265
1999-06-17,1998,9,2163.9983405146018
1999-06-18,1998,9,2126.1204837228725
1999-06-19,1998,9,2088.1163424374763
1999-06-20,1998,9,2054.7178395962105
1999-06-21,1998,9,2018.1481094185706
1999-06-22,1998,9,1981.5299045285963
1999-06-23,1998,9,1942.6553101304346
1999-06-24,1998,9,1905.5398279207106
1999-06-25,1998,9,1868.5003303525116
1999-06-26,1998,9,1837.3361303746956
1999-06-27,1998,9,1803.235614280192
1999-06-28,1998,9,1768.9713852950574
1999-06-29,1998,9,1734.7577265046948
1999-06-30,1998,9,1702.9532295446443
1999-07-01,1998,10,1730.2098370570725
1999-07-02,1998,10,1701.22364685212
1999-07-03,1998,10,1672.2038838703538
1999-07-04,1998,10,1643.1002217869125
1999-07-05,1998,10,1619.5400298417867
1999-07-06,1998,10,1593.2184968167753
1999-07-07,1998,10,1566.8196906885903
1999-07-08,1998,10,1540.0538064432556
1999-07-09,1998,10,1513.1295497935305
1999-07-10,1998,10,1486.3727625035237
1999-07-11,1998,10,1462.39207095659
1999-07-12,1998,10,1438.404001475732
1999-07-13,1998,10,1414.4085905787558
1999-07-14,1998,10,1396.0845937693687
1999-07-15,1998,10,1374.9163894299681
1999-07-16,1998,10,1356.5316205811953
1999-07-17,1998,10,1335.3529059243322
1999-07-18,1998,10,1314.1685980534105
1999-07-19,1998,10,1292.675566681843
1999-07-20,1998,10,1270.786467898768
1999-07-21,1998,10,1248.8729926803321
1999-07-22,1998,10,1227.0412689031893
1999-07-23,1998,10,1205.2374350414275
1999-07-24,1998,10,1156.8000000000002
1999-07-25,1998,10,1156.8000000000002
1999-07-26,1998,10,1156.8000000000002
1999-07-27,1998,10,1156.8000000000002
1999-07-28,1998,10,1156.8000000000002
1999-07-29,1998,10,1144.5996643545616
1999-07-30,1998,10,1125.6686400084584
1999-07-31,1998,10,1112.5349676610313
1999-08-01,1998,11,1156.8000000000002
1999-08-02,1998,11,1155.2943775774577
1999-08-03,1998,11,1133.3446166562394
1999-08-04,1998,11,1111.212098529436
1999-08-05,1998,11,1088.9618540795104
1999-08-06,1998,11,1069.2018156201652
1999-08-07,1998,11,1049.500286728001
1999-08-08,1998,11,1029.7467598233602
1999-08-09,1998,11,1010.0526977360175
1999-08-10,1998,11,996.4081301173935
1999-08-11,1998,11,979.2959945393363
1999-08-12,1998,11,961.1154041965929
1999-08-13,1998,11,942.9977411948724
1999-08-14,1998,11,925.0098290370249
1999-08-15,1998,11,907.0223650268636
1999-08-16,1998,11,889.0954302216173
1999-08-17,1998,11,871.2285458539754
1999-08-18,1998,11,857.3719074460306
1999-08-19,1998,11,843.925531700741
1999-08-20,1998,11,830.6312422739121
1999-08-21,1998,11,817.3362544410957
1999-08-22,1998,11,803.9984586231039
1999-08-23,1998,11,790.4929021602063
1999-08-24,1998,11,776.9984393868832
1999-08-25,1998,11,763.4601967927488
1999-08-26,1998,11,756.0106480781437
1999-08-27,1998,11,745.4992933823319
1999-08-28,1998,11,735.0492177983292
1999-08-29,1998,11,724.5509554365761
1999-08-30,1998,11,714.1138222887541
1999-08-31,1998,11,703.6830820837628
1999-09-01,1998,12,806.0382494522657
1999-09-02,1998,12,792.4766575318592
1999-09-03,1998,12,775.8978395741792
1999-09-04,1998,12,762.3603960990522
1999-09-05,1998,12,748.8336723169944
1999-09-06,1998,12,735.3175803815307
1999-09-07,1998,12,721.8120319593531
1999-09-08,1998,12,708.3169382303323
1999-09-09,1998,12,694.7774149498754
1999-09-10,1998,12,687.2413609433252
1999-09-11,1998,12,676.334475492059
1999-09-12,1998,12,665.2188601501236
1999-09-13,1998,12,653.9789972041583
1999-09-14,1998,12,642.7114118618867
1999-09-15,1998,12,631.5334573401888
1999-09-16,1998,12,620.3280694101055
1999-09-17,1998,12,609.2119534008618
1999-09-18,1998,12,598.0686926092443
1999-09-19,1998,12,587.0143452088323
1999-09-20,1998,12,575.990775354862
1999-09-21,1998,12,568.1027625211913
1999-09-22,1998,12,560.2305689781127
1999-09-23,1998,12,552.4314768815798
1999-09-24,1998,12,544.5907873262072
1999-09-25,1998,12,536.536166556707
1999-09-26,1998,12,528.3370320890473
1999-09-27,1998,12,521.4930663408942
1999-09-28,1998,12,514.8551986989773
1999-09-29,1998,12,513.544473218942
1999-09-30,1998,12,509.5586695888461
1999-10-01,1999,1,610.2448927299497
1999-10-02,1999,1,602.3072049522384
1999-10-03,1999,1,594.4428656960383
1999-10-04,1999,1,599.1827622619068
1999-10-05,1999,1,603.9282392279739
1999-10-06,1999,1,596.0029472125447
1999-10-07,1999,1,588.093229447617
1999-10-08,1999,1,580.2566446806711
1999-10-09,1999,1,572.3779426593414
1999-10-10,1999,1,561.3624323716778
1999-10-11,1999,1,553.5782544246938
1999-10-12,1999,1,551.9775307315476
1999-10-13,1999,1,547.2934305961583
1999-10-14,1999,1,536.1564418368775
1999-10-15,1999,1,527.9759781821435
1999-10-16,1999,1,520.9647508673424
1999-10-17,1999,1,514.1942014271983
1999-10-18,1999,1,507.46642256252704
1999-10-19,1999,1,506.1411794342822
1999-10-20,1999,1,496.72269286448267
1999-10-21,1999,1,490.0561212164854
1999-10-22,1999,1,483.3435731020487
1999-10-23,1999,1,476.6331721113658
1999-10-24,1999,1,475.3108593784399
1999-10-25,1999,1,471.2951713433601
1999-10-26,1999,1,467.27967153058813
1999-10-27,1999,1,463.2641673441277
1999-10-28,1999,1,461.8929842217642
1999-10-29,1999,1,460.57074308495953
1999-10-30,1999,1,459.2484667098312
1999-10-31,1999,1,457.87717261037335
1999-11-01,1999,2,463.6741507622751
1999-11-02,1999,2,475.7187920680759
1999-11-03,1999,2,482.42774236040634
1999-11-04,1999,2,481.10541287931073
1999-11-05,1999,2,479.7341817968348
1999-11-06,1999,2,483.7991280747166
1999-11-07,1999,2,487.8158765492828
1999-11-08,1999,2,486.4442048373679
1999-11-09,1999,2,490.461569006226
1999-11-10,1999,2,505.2191308820049
1999-11-11,1999,2,525.3620940699917
1999-11-12,1999,2,533.345286809758
1999-11-13,1999,2,528.4523668529459
1999-11-14,1999,2,533.345286809758
1999-11-15,1999,2,534.9585520437713
1999-11-16,1999,2,524.0337178886614
1999-11-17,1999,2,517.2978737800514
1999-11-18,1999,2,515.9711947987578
1999-11-19,1999,2,517.2978737800514
1999-11-20,1999,2,513.2694796174668
1999-11-21,1999,2,511.94355103954047
1999-11-22,1999,2,510.56875979512535
1999-11-23,1999,2,501.196780898383
1999-11-24,1999,2,497.17605108649786
1999-11-25,1999,2,517.2978737800514
1999-11-26,1999,2,536.6327105776645
1999-11-27,1999,2,547.7456356432833
1999-11-28,1999,2,555.573810629498
1999-11-29,1999,2,575.9307014962583
1999-11-30,1999,2,583.814623232405
1999-12-01,1999,3,537.0349285714601
1999-12-02,1999,3,538.6522455794368
1999-12-03,1999,3,527.2345889379651
1999-12-04,1999,3,525.7838923910435
1999-12-05,1999,3,519.0590857962555
1999-12-06,1999,3,517.6824122113056
1999-12-07,1999,3,513.6463411604105
1999-12-08,1999,3,528.8453035103902
1999-12-09,1999,3,537.0349285714601
1999-12-10,1999,3,545.0555583164266
1999-12-11,1999,3,571.6399507561159
1999-12-12,1999,3,579.523536501869
1999-12-13,1999,3,577.9685986389738
1999-12-14,1999,3,585.8647542319723
1999-12-15,1999,3,606.3984797529077
1999-12-16,1999,3,617.4897498756043
1999-12-17,1999,3,609.5891762475428
1999-12-18,1999,3,601.6461330354064
1999-12-19,1999,3,590.5984120651298
1999-12-20,1999,3,601.6461330354064
1999-12-21,1999,3,622.2608006985532
1999-12-22,1999,3,627.095759371701
