waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
2012,365,899.7,192.8,29.57,102.7,1344,221.3,3649,42.4,4.69,20.1,0.209,0.0471,0.437,0,0,0,0,0,0,0.571,0.44,0.09,0.21,0.26,0,0,0,22.3,0.11,0.47,0.53,21.2,0.45,0.013175675675675727,0.21489971346704873,0.21081081081081082
2013,365,986.9,192.8,0,112.7,1347,198.1,3614,42.5,5.16,21.7,0.198,0.0495,0.404,0,7,0,0,0.019,0,0.626,0.46,0.14,0.19,0.21,0,7,0.019178082191780823,20.8,0.12,0.51,0.49,23.2,0.0911007025761124,0.11137387387387385,0.21776504297994273,0.21351351351351353
2014,365,943.8,192.8,30.13,107.7,704.1,207.1,1466,22.2,3.78,17.8,0.228,0.0841,0.471,0,0,0,0,0,0,0.599,0.33,0.13,0.22,0.31,0,0,0,4.4,0.17,0.8,0.2,42.5,0.22181818181818197,0.06283783783783779,-0.3638968481375358,-0.36567567567567566
2015,366,840.7,192.8,26.01,95.71,1020,174.9,2994,32.2,4.08,17.6,0.206,0.0588,0.431,0,0,0,0,0,0,0.533,0.35,0.096,0.21,0.35,0,0,0,14.6,0.13,0.55,0.45,26.1,0.7829545454545453,-0.053265765765765714,-0.07736389684813742,-0.08108108108108109
2016,365,903.1,192.8,22.31,103.1,1087,155.5,3913,34.3,4.21,19,0.201,0.0411,0.423,0,0,0,0,0,0,0.573,0.44,0.049,0.21,0.31,0,0,0,15.3,0.12,0.55,0.45,26.3,0.3993243243243242,0.01700450450450453,-0.01719197707736394,-0.02072072072072072
2017,365,896.5,192.8,25.3,102.3,1614,171.9,4829,50.9,5.19,21.1,0.187,0.0473,0.466,0,0,0,0,0,0,0.569,0.47,0.1,0.21,0.22,0,0,0,29.8,0.1,0.41,0.59,17.6,0.49000000000000055,0.009572072072072071,0.4584527220630373,0.4540540540540541
2018,365,773.5,186.6,0,88.3,516.7,156.7,1092,16.3,2.66,13.6,0.206,0.0903,0.436,0,5,0,0,0.014,0,0.491,0.16,0.22,0.24,0.38,0,5,0.0136986301369863,2.7,0.16,0.83,0.17,47.5,0.9300847457627118,-0.12894144144144143,-0.5329512893982807,-0.5345045045045045
2019,366,860.1,192.8,19.3,97.91,1381,128.1,4670,43.7,4.68,19.3,0.184,0.0481,0.386,0,0,0,0,0,0,0.545,0.38,0.12,0.28,0.22,0,0,0,24.4,0.11,0.44,0.56,19.7,0.6788888888888885,-0.031418918918918896,0.2521489971346706,0.24414414414414415
2020,365,969,192.8,39.42,110.6,1356,260.1,3732,42.8,5.15,21.2,0.199,0.0434,0.41,0,0,0,0,0,0,0.615,0.45,0.1,0.26,0.19,0,0,0,21.6,0.12,0.5,0.5,22.6,0.13872180451127816,0.09121621621621621,0.2263610315186246,0.22162162162162163
2021,365,945.9,192.8,36.68,108,1087,263.5,3102,34.3,4.74,19.6,0.213,0.062,0.463,0,0,0,0,0,0,0.6,0.42,0.11,0.2,0.27,0,0,0,14.7,0.14,0.57,0.43,27.6,0.21545454545454554,0.06520270270270268,-0.01719197707736394,-0.02072072072072072
2022,365,965.5,192.8,33.44,110.2,1152,228.8,2768,36.3,4.68,20.4,0.209,0.0527,0.452,0,0,0,0,0,0,0.612,0.44,0.079,0.25,0.23,0,0,0,15.9,0.13,0.56,0.44,26.6,0.15166666666666667,0.08727477477477477,0.04011461318051572,0.03783783783783784
2023,366,755.1,144.6,32.59,85.96,507.6,217.9,875.5,16.1,3.08,13,0.224,0.113,0.374,0,0,0,0,0,0,0.479,0,0.45,0.24,0.31,0,0,0,3.1,0.19,0.81,0.19,46.9,0.9495762711864406,-0.14966216216216213,-0.5386819484240687,-0.5427027027027027
