exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.26,1295.2,0.26,34.7,6.96,6.42,7.42,106,162,0.12,1133,0.88,1093,40.4,9.07,1.2,1.22,-6.22,35.1,43.8,8.16,7.63,1.2,141,1150,990,968.8,21.2,0.776,0.632,0.0299,1.41,0.0665,4,0.299,1.71,0.0806,19.5,0.954,0.98,0.935,49.7,48.1,192,1650000
0.27,1243.4,0.27,34.2,6.83,6.3,7.08,104,159,0.13,1085,0.87,1074,11,2.51,0.332,0.332,-6.75,14.6,36.7,7.16,6.63,0.332,119,1120,990,968.7,21.3,0.734,0.589,0.0276,1.32,0.062,4,0.295,1.62,0.0759,19.7,0.954,0.98,0.935,49.5,47.8,191,1880000
0.28,1199.8,0.28,34,6.68,6.2,6.78,104,158,0.13,1042,0.87,1042,0.383,0.0807,0,0,-6.78,7.08,34.1,6.68,6.2,0,111,1090,990,968.5,21.5,0.682,0.526,0.0245,1.21,0.0563,4,0.288,1.5,0.0697,20,0.955,0.98,0.936,48.7,47.3,189,1740000
0.29,1160.2,0.29,33.4,6.45,6,6.42,102,154,0.13,1006,0.87,1006,0,0,0,0,-6.42,6.42,33.4,6.45,6,0,108,1050,990,968.4,21.6,0.633,0.466,0.0216,1.1,0.0509,4,0.279,1.38,0.0638,20.2,0.955,0.98,0.936,47.6,46.6,186,1440000
0.30,1115.9,0.3,32.7,6.35,5.79,6.1,97.6,149,0.13,967.3,0.87,967.3,0,0,0,0,-6.1,6.1,32.7,6.35,5.79,0,104,1010,990,968.3,21.7,0.584,0.414,0.0191,0.999,0.046,4,0.268,1.27,0.0583,20.5,0.955,0.98,0.936,46.4,45.4,182,1600000
0.31,1062.7,0.31,32.2,6.32,5.77,5.84,95.9,146,0.14,916.7,0.86,916.7,0,0,0,0,-5.84,5.84,32.2,6.32,5.77,0,102,961,990,968.1,21.9,0.535,0.383,0.0175,0.917,0.0419,4,0.252,1.17,0.0534,20.7,0.955,0.98,0.936,44.5,43.6,174,1770000
0.32,1034.9,0.32,31.8,6.07,5.64,5.64,95.1,144,0.14,890.7,0.86,890.7,0,0,0,0,-5.64,5.64,31.8,6.07,5.64,0,101,934,990,968,22,0.51,0.37,0.0168,0.88,0.04,3.9959016393442623,0.243,1.12,0.0511,20.9,0.955,0.979,0.935,43.6,42.7,170,998000
0.33,1004.5,0.33,31.1,5.89,5.49,5.36,92.8,141,0.14,863.9,0.86,863.9,0,0,0,0,-5.36,5.36,31.1,5.89,5.49,0,98.2,906,990,967.9,22.1,0.485,0.357,0.0162,0.842,0.0381,3.921195652173913,0.241,1.08,0.049,21,0.955,0.979,0.935,43.5,42.4,166,1470000
0.34,975.32,0.34,31.3,5.86,5.42,5.29,92.7,141,0.14,834.7,0.86,834.7,0,0,0,0,-5.29,5.29,31.3,5.86,5.42,0,98,877,990,967.8,22.2,0.458,0.343,0.0154,0.801,0.0361,3.7896907216494844,0.242,1.04,0.047,21.2,0.955,0.98,0.935,44,42.8,161,1870000
0.35,940.66,0.35,30.7,5.85,5.31,5.15,90.1,137,0.15,803.5,0.85,803.5,0,0,0,0,-5.15,5.15,30.7,5.85,5.31,0,95.3,845,990,967.7,22.3,0.429,0.327,0.0147,0.756,0.0339,3.729658792650919,0.236,0.992,0.0444,21.3,0.955,0.979,0.934,43.5,42.4,156,1430000
