waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1989,365,793.9,172.8,27.48,90.63,545.3,211.9,1026,17.2,3.51,13.7,0.257,0.112,0.449,0,0,0,0,0,0,0.503,0.24,0.16,0.2,0.39,0,0,0,3.5,0.2,0.8,0.2,46.2,-0.10293785310734466,-0.5071633237822349,-0.5087387387387388
1990,365,833.7,192.8,0,95.17,775,201.4,2321,24.4,3.94,16.1,0.254,0.0784,0.482,0,4,0,0,0.011,0,0.529,0.31,0.1,0.22,0.38,0,4,0.010958904109589041,8.3,0.16,0.66,0.34,34.2,-0.0579661016949152,-0.3008595988538682,-0.30180180180180183
1991,366,721.2,158.6,22.55,82.11,492.9,172.6,919.2,15.6,3.3,12.3,0.259,0.111,0.417,0,0,0,0,0,0,0.457,0.06,0.32,0.22,0.4,0,0,0,3.3,0.21,0.79,0.21,46.2,-0.1850847457627118,-0.5530085959885386,-0.5559459459459459
1992,365,816.1,192.8,25.14,93.16,878.9,163.3,3612,27.7,4.19,16.2,0.238,0.0595,0.457,0,0,0,0,0,0,0.518,0.34,0.058,0.24,0.36,0,0,0,11.5,0.15,0.58,0.42,29.5,-0.07785310734463274,-0.20630372492836674,-0.2081981981981982
1993,365,733.4,192.8,19.27,83.72,578.6,156.8,1812,18.2,3.51,13.4,0.276,0.0891,0.459,0,0,0,0,0,0,0.465,0.22,0.12,0.17,0.49,0,0,0,4.8,0.19,0.74,0.26,40.3,-0.17129943502824863,-0.4785100286532951,-0.47873873873873873
1994,365,577.7,192.8,0,65.94,416.8,134.4,1250,13.1,2.89,10.2,0.294,0.1,0.539,0,17,0,0,0.047,0,0.366,0.13,0.088,0.22,0.56,0,17,0.04657534246575343,2.9,0.22,0.78,0.22,44.1,-0.347231638418079,-0.6246418338108882,-0.6245045045045046
1995,366,525.1,144.6,0,59.78,370.6,127.7,851.4,11.7,2.87,8.85,0.3,0.147,0.536,0,15,0,0,0.041,0,0.333,0,0.2,0.24,0.56,0,15,0.0410958904109589,2.85,0.25,0.76,0.24,44.9,-0.4066666666666666,-0.664756446991404,-0.6661261261261261
1996,365,779.8,192.8,17.38,89.02,556.8,127.7,1388,17.6,3.23,14.1,0.248,0.109,0.452,0,0,0,0,0,0,0.495,0.24,0.13,0.18,0.44,0,0,0,3.5,0.18,0.8,0.2,44.3,-0.11887005649717519,-0.495702005730659,-0.4983783783783784
1997,365,837.9,192.8,20.6,95.65,1098,155.5,3553,34.6,5.06,17.5,0.244,0.0539,0.564,0,0,0,0,0,0,0.531,0.35,0.11,0.18,0.36,0,0,0,17.1,0.15,0.51,0.49,24.2,-0.053220338983050876,-0.008595988538681867,-0.010810810810810811
1998,365,854,192.8,22.19,97.49,1061,171.9,3389,33.5,4.85,17.6,0.245,0.064,0.564,0,0,0,0,0,0,0.542,0.36,0.11,0.2,0.33,0,0,0,15.9,0.14,0.53,0.47,25.5,-0.03502824858757062,-0.04011461318051572,-0.044144144144144144
1999,366,811.7,192.8,0,92.41,864.1,194.2,3367,27.3,4.21,16,0.242,0.0468,0.461,0,4,0,0,0.011,0,0.515,0.28,0.12,0.22,0.38,0,4,0.010958904109589041,11.3,0.15,0.59,0.41,29.7,-0.0828248587570621,-0.21776504297994265,-0.22153153153153152
2000,365,873.6,192.8,19.92,99.73,1224,138,3690,38.6,5.3,18.7,0.234,0.0624,0.49,0,0,0,0,0,0,0.554,0.38,0.12,0.2,0.3,0,0,0,19.9,0.14,0.48,0.52,22.6,-0.012881355932203364,0.10601719197707744,0.10270270270270271
2001,365,905,192.8,0,103.3,799.5,198.1,2018,25.2,4.55,17.3,0.264,0.0777,0.53,0,6,0,0,0.016,0,0.574,0.32,0.15,0.24,0.3,0,6,0.01643835616438356,7.9,0.18,0.69,0.31,35.9,0.022598870056497175,-0.27793696275071633,-0.2797297297297297
2002,365,888.3,192.8,0,101.4,1081,197.5,3892,34.1,5.25,18.3,0.252,0.0619,0.525,0,9,0,0,0.025,0,0.563,0.38,0.12,0.16,0.33,0,9,0.024657534246575342,15.8,0.15,0.54,0.46,26,0.0037288135593219825,-0.022922636103151782,-0.026126126126126126
2003,366,863.3,192.8,0,98.28,1334,188.1,4431,42.2,5.63,18.9,0.246,0.0539,0.499,0,6,0,0,0.016,0,0.547,0.39,0.11,0.18,0.32,0,6,0.01643835616438356,23.3,0.13,0.45,0.55,20.5,-0.024519774011299487,0.20916905444126088,0.2018018018018018
2004,365,883.3,192.8,0,100.8,641.2,195.8,1320,20.2,3.76,16.3,0.253,0.0991,0.476,0,6,0,0,0.016,0,0.56,0.31,0.13,0.22,0.34,0,6,0.01643835616438356,3.9,0.19,0.81,0.19,43.7,-0.0019209039548023113,-0.42120343839541546,-0.4223423423423423
2005,365,901.8,192.8,18.8,102.9,965.3,155.5,2684,30.4,4.95,18,0.255,0.0787,0.538,0,0,0,0,0,0,0.572,0.39,0.099,0.17,0.34,0,0,0,12.4,0.16,0.59,0.41,29.7,0.018983050847457574,-0.12893982808022922,-0.1303603603603604
2006,365,895,192.8,26.07,102.2,1472,209.5,4670,46.4,6.07,20,0.245,0.0424,0.496,0,0,0,0,0,0,0.568,0.42,0.099,0.21,0.26,0,0,0,26.4,0.13,0.43,0.57,19.3,0.011299435028248588,0.32951289398280803,0.3261261261261261
2007,366,953,192.8,27.74,108.5,1305,236.7,3345,41.3,5.51,20.5,0.241,0.0484,0.49,0,0,0,0,0,0,0.604,0.46,0.079,0.18,0.28,0,0,0,20.8,0.13,0.5,0.5,23.1,0.0768361581920904,0.18338108882521487,0.17567567567567569
2008,365,897.7,192.8,0,102.5,1521,179.5,5806,48,6,20.2,0.239,0.0412,0.48,0,0,3,0,0,0.0082,0.569,0.45,0.12,0.14,0.29,0,3,0.00821917808219178,27.8,0.13,0.42,0.58,18.7,0.014350282485875757,0.37535816618911183,0.37027027027027026
2009,365,927,192.8,26.07,105.8,1710,212.1,5180,53.9,6.38,21.4,0.225,0.0469,0.462,0,0,0,0,0,0,0.588,0.47,0.13,0.21,0.19,0,0,0,32.5,0.12,0.4,0.6,17.2,0.04745762711864407,0.5444126074498568,0.5405405405405406
2010,365,935.9,192.8,25.69,106.8,1701,223.9,4449,53.6,6.33,21.7,0.224,0.0518,0.491,0,0,0,0,0,0,0.594,0.5,0.082,0.21,0.21,0,0,0,31.9,0.12,0.4,0.6,17.5,0.05751412429378529,0.5358166189111749,0.5324324324324324
2011,366,971.7,192.8,30.3,110.6,1217,243.7,3585,38.5,5.58,20.3,0.237,0.0625,0.469,0,0,0,0,0,0,0.616,0.43,0.12,0.2,0.26,0,0,0,18.2,0.14,0.53,0.47,25.2,0.0979661016949153,0.10315186246418342,0.0963963963963964
2012,365,899.8,192.8,25.78,102.7,1344,221.3,3649,42.4,5.41,19.7,0.246,0.0552,0.508,0,0,0,0,0,0,0.571,0.43,0.088,0.18,0.3,0,0,0,22.7,0.13,0.46,0.54,21.2,0.01672316384180786,0.21489971346704873,0.21081081081081082
