exceedance,vicFallsFull,sioma,vicFallsOverlap,vicFallsRatio,vicFallsRatioSmoothed,ngonyeScaled,conversionFactor
0.14,271.7487,257.1376785851828,270.4558,1.004780448413382,1.0064555193760711,258.7976358516074,0.9523417622664154
0.141,273.6479107999999,257.1376785851828,270.4558,1.011802707873153,1.0048219465350958,258.37758272347924,0.9441971691584328
0.142,274.2861,258.15903645556097,274.2861,1,1.0046825662354963,259.36788324305604,0.9456107445585323
0.143,275.3297,258.15903645556097,274.2861,1.003804786316186,1.0060127151193716,259.71127319725974,0.9432737303576757
0.144,275.3297,258.15903645556097,274.2861,1.003804786316186,1.0077538530086267,260.1607636770861,0.9449062839101124
0.145,275.3297,259.1820019747376,274.2861,1.003804786316186,1.0084918109750576,261.3829265436441,0.9493451906701097
0.146,278.1512,259.1820019747376,274.2861,1.014091490600508,1.0096999979096155,261.69606685210255,0.9408410492282706
0.147,278.9403,259.1820019747376,274.2861,1.0169684136381683,1.0095617350410797,261.66023160503664,0.9380510152352911
0.148,278.9403,260.20657383642845,274.2861,1.0169684136381683,1.009423472172544,262.65862324408903,0.9416302457697545
0.149,278.9403,260.20657383642845,276.601,1.0084573085419068,1.0108829014944427,263.0383763476967,0.9429916593181291
0.15,278.9403,260.20657383642845,278.1512,1.0028369462364353,1.0111446989729773,263.10649777262523,0.9432358743882661
0.151,278.9403,261.232750738513,278.1512,1.0028369462364353,1.010995507446132,264.1051373944319,0.9468159939400363
0.152,282.0511,261.232750738513,278.1512,1.0140207915694772,1.0108463159192866,264.0661636814872,0.9362351846225282
0.153,282.5805,261.232750738513,278.1512,1.0159240729502514,1.009906266820137,263.8205920694871,0.9336121638594563
0.154,282.5805,262.08375311215826,278.1512,1.0159240729502514,1.009769126621769,264.6440824818194,0.9365263437562727
0.155,282.5805,262.2605313830121,278.1512,1.0159240729502514,1.009631986423401,264.7866212606872,0.9370307620684627
0.156,282.5805,263.2899144760634,282.0511,1.001876964847859,1.0096220187842837,265.82329497886457,0.9406993581611774
0.157,282.5805,263.2899144760634,282.0511,1.001876964847859,1.0094741720733769,265.78436843099433,0.9405616043251193
0.158,282.5805,264.32089872790124,282.0511,1.001876964847859,1.00932632536247,266.78604142953816,0.9441063393600697
0.159,285.986,265.3534828528322,282.0511,1.013951018095657,1.0074122152528795,267.32033998583864,0.9347322595715827
0.16,286.2506,265.47758477879796,282.0511,1.0148891459739033,1.0072762517197096,267.409266511589,0.9341788856043934
0.161,286.2506,266.3876655692137,282.0511,1.0148891459739033,1.00714028818654,268.2897502707175,0.9372548049531336
0.162,286.2506,267.42344559943007,285.52955160000005,1.0025253021831173,1.0088525669749224,269.7908295622635,0.9424987390847862
0.163,286.2506,267.6993876341679,285.986,1.0009252201156702,1.0088399810136193,270.06584513821144,0.943459490174733
0.164,286.2506,268.46082166987287,285.986,1.0009252201156702,1.00671029965802,270.26227422971596,0.9441457039032091
0.165,289.9506,268.46082166987287,285.986,1.0138629163665356,1.0045806183024208,269.69053822309684,0.930125815304734
0.166,289.9506,269.49979251091764,285.986,1.0138629163665356,1.0042198608476898,270.637044133795,0.9333901848583689
0.167,289.9506,269.49979251091764,289.956,0.999981376484708,1.0048749488492883,270.81359021430217,0.9339990681664468
0.168,289.9506,269.49979251091764,289.956,0.999981376484708,1.0065777820260169,271.2725034021112,0.9355817970444318
0.169,289.956,269.58414767119126,289.956,1,1.0064323728811935,271.3182134318711,0.9357220179333108
0.17,291.5539,270.5403568569027,289.956,1.0055108361268605,1.006218421993765,272.2226909621827,0.9336959339668676
0.171,293.6805,270.5403568569027,289.956,1.0128450523527708,1.0060846213845234,272.1864924976108,0.9268115945648785
