waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,grossHeadMin,grossHeadMax,netHeadMin,netHeadMax,headlossMax,headlossMin,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1963,366,1056,196.7,33.81,120.2,1030,290,2464,17.8,25.1,15.9,24.9,1.87,0.252,32.6,5.19,21.1,0.224,0.0743,0.513,0,0,0,0,0,0,0.669,0.45,0.13,0.31,0.11,0,0,0,11.5,0.16,0.65,0.35,32.4,0,0.2179930795847751,-0.06590257879656153,-0.07207207207207207
1964,365,924.3,197.7,33.16,105.5,976,261.9,2747,17.1,25.3,15.2,25,1.87,0.256,30.8,5.07,18.6,0.25,0.0688,0.481,0,0,0,0,0,0,0.586,0.36,0.12,0.25,0.26,0,0,0,12.2,0.16,0.6,0.4,30,0.2180722891566266,0.06608996539792382,-0.11747851002865324,-0.12072072072072072
1965,365,888.8,196.4,31.27,101.5,1224,246.5,5489,11.8,25.3,9.93,25.1,1.87,0.243,38.6,5.55,19,0.248,0.0338,0.467,0,0,0,0,0,0,0.564,0.37,0.11,0.3,0.22,0,0,0,19.6,0.14,0.49,0.51,23,0.3634782608695653,0.025144175317185647,0.10601719197707744,0.10270270270270271
1966,365,922.6,197.6,31.86,105.3,982.9,263.1,3456,15.5,25.2,13.6,25,1.87,0.25,31,5.12,18.6,0.245,0.0628,0.49,0,0,0,0,0,0,0.585,0.35,0.14,0.25,0.26,0,0,0,12.4,0.17,0.6,0.4,29.8,0.22831325301204794,0.0641291810841984,-0.11174785100286529,-0.11450450450450453
1967,366,908.8,194.8,32.26,103.5,1872,254.6,5594,11.6,25.3,9.78,25,1.87,0.249,59.2,6.41,22.1,0.211,0.037,0.443,0,0,0,0,0,0,0.576,0.47,0.13,0.28,0.12,0,0,0,37.1,0.11,0.37,0.63,15.4,0.2925000000000002,0.0482122260668973,0.696275071633238,0.6864864864864865
1968,365,867.6,196.5,0,99.04,2160,281.5,8558,8.87,25.2,7.12,24.9,1.87,0.249,68.1,6.7,22.5,0.199,0.0352,0.391,0,0,25,0,0,0.068,0.55,0.45,0.19,0.24,0.12,0,25,0.0684931506849315,45.6,0.098,0.33,0.67,12.7,0.5647058823529413,0.0006920415224913757,0.9512893982808022,0.9459459459459459
1969,365,1021,197.4,43,116.6,1563,337.2,4991,12.5,24.9,10.6,24.6,1.87,0.255,49.3,6.13,22.7,0.202,0.0423,0.433,0,0,0,0,0,0,0.648,0.47,0.16,0.34,0.036,0,0,0,26.6,0.12,0.46,0.54,20.7,0.029711375212224122,0.1776239907727797,0.4126074498567335,0.4081081081081081
1970,365,996.9,196.8,41.91,113.8,1086,321.2,3153,16.1,25,14.2,24.7,1.87,0.249,34.2,5.26,20.3,0.229,0.0716,0.467,0,0,0,0,0,0,0.632,0.4,0.15,0.28,0.17,0,0,0,13.9,0.15,0.59,0.41,29.1,0.05028248587570628,0.14982698961937713,-0.02005730659025776,-0.021621621621621623
1971,366,971.9,197.2,35.8,110.6,787.8,276.2,1856,19.4,25.2,17.5,24.9,1.87,0.249,24.9,4.77,18.3,0.249,0.0798,0.505,0,0,0,0,0,0,0.616,0.3,0.21,0.24,0.24,0,0,0,6.6,0.19,0.73,0.27,39,0.08559322033898314,0.12099192618223757,-0.2865329512893983,-0.2902702702702703
1972,365,828.4,197.7,24.42,94.57,592.6,228.7,1241,21.3,25.4,19.6,25.2,1.74,0.189,18.7,3.87,14.8,0.26,0.101,0.516,0,0,0,0,0,0,0.525,0.2,0.22,0.25,0.34,0,0,0,3.9,0.21,0.79,0.21,44.3,0.7504545454545456,-0.04452133794694351,-0.46418338108882523,-0.4661261261261261
