waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy
1969,365,993,193.6,42,113.4,1563,337.2,4991,49.3,6.13,22.7,0.202,0.0423,0.433,0,0,0,0,0,0,0.63,0.49,0.15,0.33,0.03,0,0,0,26.6,0.12,0.46,0.54,20.1
1970,365,971.4,193,40.94,110.9,1086,321.2,3153,34.2,5.26,20.3,0.229,0.0716,0.467,0,0,0,0,0,0,0.616,0.42,0.14,0.32,0.12,0,0,0,13.9,0.15,0.59,0.41,28.4
1971,366,949.8,193.4,34.97,108.1,787.8,276.2,1856,24.9,4.77,18.3,0.249,0.0798,0.505,0,0,0,0,0,0,0.602,0.34,0.18,0.29,0.19,0,0,0,6.6,0.19,0.73,0.27,38.1
1972,365,809.5,193.9,23.78,92.41,592.6,228.7,1241,18.7,3.87,14.8,0.26,0.101,0.516,0,0,0,0,0,0,0.513,0.22,0.2,0.3,0.28,0,0,0,3.9,0.21,0.79,0.21,43.3
1973,365,930.7,191.9,23.99,106.2,1126,208.1,2854,35.5,5.29,20.1,0.243,0.0598,0.532,0,0,0,0,0,0,0.59,0.47,0.082,0.17,0.28,0,0,0,15.4,0.15,0.57,0.43,26.2
1974,365,844,193.6,0,96.35,1612,216.8,5518,50.8,6.26,20.9,0.233,0.0438,0.472,0,0,13,0,0,0.036,0.535,0.46,0.11,0.19,0.24,0,13,0.03561643835616438,29.9,0.12,0.41,0.59,16.6
1975,366,844.1,191.6,0,96.1,1583,239.5,5537,50.1,6.24,20.3,0.229,0.0435,0.459,0,0,4,0,0,0.011,0.535,0.42,0.15,0.27,0.17,0,4,0.010958904109589041,29.8,0.12,0.41,0.59,16.8
1976,365,974.7,194,43.82,111.3,1143,337.2,2845,36,5.64,20.7,0.223,0.0755,0.42,0,0,0,0,0,0,0.618,0.42,0.13,0.42,0.036,0,0,0,15.3,0.16,0.57,0.43,27.1
1977,365,887.7,192.9,0,101.3,1899,273.3,6342,59.9,6.47,23.4,0.196,0.0435,0.424,0,0,38,0,0,0.1,0.563,0.55,0.12,0.2,0.12,0,38,0.10410958904109589,36.5,0.11,0.39,0.61,14.8
1978,365,1025,192.7,0,117,1498,341.6,5397,47.3,6.23,23,0.199,0.0547,0.431,0,0,1,0,0,0.0027,0.65,0.48,0.19,0.32,0.016,0,1,0.0027397260273972603,24.3,0.13,0.49,0.51,21.7
1979,366,1015,192.6,38.4,115.6,1317,313.5,3065,41.6,5.68,22.3,0.211,0.062,0.44,0,0,0,0,0,0,0.644,0.48,0.14,0.3,0.082,0,0,0,19.3,0.14,0.54,0.46,24.4
1980,365,936,191.9,33,106.9,1159,283.2,3456,36.6,5.69,20,0.237,0.0608,0.476,0,0,0,0,0,0,0.594,0.41,0.14,0.32,0.13,0,0,0,16.6,0.16,0.55,0.45,25.6
1981,365,801.8,194.2,26.94,91.52,599,242.4,1435,18.9,3.98,14.7,0.266,0.0881,0.487,0,0,0,0,0,0,0.508,0.22,0.18,0.28,0.32,0,0,0,4.2,0.21,0.78,0.22,42.4
1982,365,851.4,184.4,21.92,97.19,616.1,220.7,1140,19.4,3.9,15.5,0.252,0.111,0.535,0,0,0,0,0,0,0.54,0.25,0.22,0.25,0.28,0,0,0,3.9,0.2,0.8,0.2,43.9
1983,366,808.8,194.2,24.87,92.07,658.1,211.9,1780,20.8,3.75,15.4,0.255,0.0727,0.458,0,0,0,0,0,0,0.513,0.27,0.13,0.24,0.36,0,0,0,5.4,0.18,0.74,0.26,38.9
1984,365,854.9,194.2,23.12,97.59,733.1,201.4,1930,23.1,4.31,16.6,0.265,0.0784,0.534,0,0,0,0,0,0,0.542,0.31,0.13,0.22,0.34,0,0,0,6.5,0.19,0.72,0.28,37
1985,365,774.9,192.3,23.01,88.46,756.4,203.8,3038,23.9,4.36,15.3,0.273,0.0511,0.526,0,0,0,0,0,0,0.491,0.28,0.13,0.22,0.38,0,0,0,8.6,0.18,0.64,0.36,32.4
1986,365,921.1,191.8,26.28,105.2,801.3,239.5,2073,25.3,4.53,18,0.246,0.0737,0.512,0,0,0,0,0,0,0.584,0.33,0.19,0.26,0.22,0,0,0,7.3,0.18,0.71,0.29,36.4
1987,366,841.5,194.2,25,95.8,779.5,223.4,2471,24.7,4.59,16.7,0.27,0.0608,0.512,0,0,0,0,0,0,0.534,0.36,0.068,0.25,0.33,0,0,0,8,0.19,0.68,0.32,34.1
1988,365,851.9,193.7,23.99,97.25,1334,208.1,3835,42.1,5.85,19.5,0.246,0.0628,0.505,0,0,0,0,0,0,0.54,0.42,0.096,0.23,0.26,0,0,0,22.6,0.14,0.46,0.54,20.2
1989,365,760.6,165.4,26.3,86.83,545.3,211.9,1026,17.2,3.51,13.7,0.257,0.112,0.449,0,0,0,0,0,0,0.482,0.26,0.16,0.21,0.38,0,0,0,3.5,0.2,0.8,0.2,44.2
1990,365,798.4,193.3,22.46,91.14,775,201.4,2321,24.4,3.94,16.1,0.254,0.0784,0.482,0,0,0,0,0,0,0.506,0.31,0.1,0.23,0.36,0,0,0,8.3,0.16,0.66,0.34,32.7
1991,366,694.8,151.2,21.45,79.09,492.9,172.6,919.2,15.6,3.3,12.3,0.259,0.111,0.417,0,0,0,0,0,0,0.441,0.096,0.29,0.22,0.39,0,0,0,3.3,0.21,0.79,0.21,44.5
1992,365,777.3,194.2,24.04,88.74,878.9,163.3,3612,27.7,4.19,16.2,0.238,0.0595,0.457,0,0,0,0,0,0,0.493,0.35,0.055,0.24,0.35,0,0,0,11.5,0.15,0.58,0.42,28.1
1993,365,703.7,193.4,17.57,80.33,578.6,156.8,1812,18.2,3.51,13.4,0.276,0.0891,0.459,0,0,0,0,0,0,0.446,0.23,0.12,0.18,0.48,0,0,0,4.8,0.19,0.74,0.26,38.7
1994,365,565.9,194.2,12.06,64.6,416.8,134.4,1250,13.1,2.89,10.2,0.294,0.1,0.539,0,0,0,0,0,0,0.359,0.14,0.09,0.21,0.56,0,0,0,2.9,0.22,0.78,0.22,43.2
1995,366,509.5,143,12.06,58,370.6,127.7,851.4,11.7,2.87,8.85,0.3,0.147,0.536,0,0,0,0,0,0,0.323,0,0.21,0.23,0.56,0,0,0,2.85,0.25,0.76,0.24,43.5
1996,365,753.5,193.4,15.3,86.01,556.8,127.7,1388,17.6,3.23,14.1,0.248,0.109,0.452,0,0,0,0,0,0,0.478,0.24,0.14,0.18,0.44,0,0,0,3.5,0.18,0.8,0.2,42.8
1997,365,793.7,191.3,19.11,90.6,1098,155.5,3553,34.6,5.06,17.5,0.244,0.0539,0.564,0,0,0,0,0,0,0.503,0.36,0.1,0.18,0.35,0,0,0,17.1,0.15,0.51,0.49,22.9
1998,365,810,193.5,21.03,92.47,1061,171.9,3389,33.5,4.85,17.6,0.245,0.064,0.564,0,0,0,0,0,0,0.514,0.36,0.12,0.19,0.33,0,0,0,15.9,0.14,0.53,0.47,24.2
1999,366,776.2,191,22.95,88.37,864.1,194.2,3367,27.3,4.21,16,0.242,0.0468,0.461,0,0,0,0,0,0,0.492,0.31,0.09,0.24,0.36,0,0,0,11.3,0.15,0.59,0.41,28.4
2000,365,827.6,194.1,18.32,94.47,1224,138,3690,38.6,5.3,18.7,0.234,0.0624,0.49,0,0,0,0,0,0,0.525,0.4,0.11,0.2,0.3,0,0,0,19.9,0.14,0.48,0.52,21.4
2001,365,869.2,193.1,21.63,99.23,799.5,198.1,2018,25.2,4.55,17.3,0.264,0.0777,0.53,0,0,0,0,0,0,0.551,0.33,0.15,0.24,0.28,0,0,0,7.9,0.18,0.69,0.31,34.5
2002,365,848.4,191.8,21.63,96.85,1081,197.5,3892,34.1,5.25,18.3,0.252,0.0619,0.525,0,0,0,0,0,0,0.538,0.39,0.12,0.17,0.32,0,0,0,15.8,0.15,0.54,0.46,24.9
2003,366,817.7,193.6,21.78,93.09,1334,188.1,4431,42.2,5.63,18.9,0.246,0.0539,0.499,0,0,0,0,0,0,0.519,0.4,0.11,0.18,0.32,0,0,0,23.3,0.13,0.45,0.55,19.4
2004,365,863.3,194,22.54,98.55,641.2,195.8,1320,20.2,3.76,16.3,0.253,0.0991,0.476,0,0,0,0,0,0,0.547,0.32,0.12,0.22,0.33,0,0,0,3.9,0.19,0.81,0.19,42.7
2005,365,858.1,192.4,17,97.95,965.3,155.5,2684,30.4,4.95,18,0.255,0.0787,0.538,0,0,0,0,0,0,0.544,0.39,0.099,0.18,0.33,0,0,0,12.4,0.16,0.59,0.41,28.2
2006,365,843.4,191.6,24.93,96.28,1472,209.5,4670,46.4,6.07,20,0.245,0.0424,0.496,0,0,0,0,0,0,0.535,0.43,0.11,0.21,0.25,0,0,0,26.4,0.13,0.43,0.57,18.2
2007,366,901.4,190.4,26.55,102.6,1305,236.7,3345,41.3,5.51,20.5,0.241,0.0484,0.49,0,0,0,0,0,0,0.572,0.47,0.074,0.19,0.27,0,0,0,20.8,0.13,0.5,0.5,21.8
2008,365,811.7,193,0,92.66,1521,179.5,5806,48,6,20.2,0.239,0.0412,0.48,0,0,23,0,0,0.063,0.515,0.45,0.12,0.15,0.28,0,23,0.06301369863013699,27.8,0.13,0.42,0.58,16.9
2009,365,873.4,192.3,24.93,99.7,1710,212.1,5180,53.9,6.38,21.4,0.225,0.0469,0.462,0,0,0,0,0,0,0.554,0.48,0.12,0.21,0.19,0,0,0,32.5,0.12,0.4,0.6,16.2
2010,365,877.2,192.6,24.56,100.1,1701,223.9,4449,53.6,6.33,21.7,0.224,0.0518,0.491,0,0,0,0,0,0,0.556,0.5,0.085,0.21,0.21,0,0,0,31.9,0.12,0.4,0.6,16.4
2011,366,922,193,29.02,105,1217,243.7,3585,38.5,5.58,20.3,0.237,0.0625,0.469,0,0,0,0,0,0,0.585,0.44,0.11,0.21,0.24,0,0,0,18.2,0.14,0.53,0.47,23.9
2012,365,849.9,193,24.64,97.02,1344,221.3,3649,42.4,5.41,19.7,0.246,0.0552,0.508,0,0,0,0,0,0,0.539,0.44,0.082,0.2,0.27,0,0,0,22.7,0.13,0.46,0.54,20
2013,365,940.2,193,21.63,107.3,1347,198.1,3614,42.5,5.96,21.2,0.234,0.0566,0.49,0,0,0,0,0,0,0.596,0.46,0.14,0.18,0.22,0,0,0,21.3,0.14,0.5,0.5,22.1
2014,365,899.8,194,25.2,102.7,704.1,207.1,1466,22.2,4.44,17.2,0.272,0.1,0.545,0,0,0,0,0,0,0.571,0.34,0.13,0.21,0.33,0,0,0,5,0.2,0.77,0.23,40.5
2015,366,795.6,192.7,21.77,90.58,1020,174.9,2994,32.2,4.73,17.2,0.246,0.0673,0.498,0,0,0,0,0,0,0.505,0.35,0.093,0.2,0.36,0,0,0,15,0.15,0.53,0.47,24.7
2016,365,857.4,193.1,18.46,97.87,1087,155.5,3913,34.3,4.88,18.6,0.24,0.047,0.482,0,0,0,0,0,0,0.544,0.44,0.052,0.19,0.32,0,0,0,15.7,0.14,0.54,0.46,25
2017,365,845.6,191.2,21.03,96.53,1614,171.9,4829,50.9,6.01,20.7,0.223,0.0556,0.559,0,0,0,0,0,0,0.536,0.47,0.093,0.19,0.24,0,0,0,30.2,0.12,0.41,0.59,16.6
2018,365,729.7,178.8,17.55,83.3,516.7,156.7,1092,16.3,3.21,13.1,0.251,0.108,0.529,0,0,0,0,0,0,0.463,0.18,0.21,0.22,0.39,0,0,0,3.2,0.2,0.8,0.2,44.8
2019,366,810,192.7,15.39,92.22,1381,128.1,4670,43.7,5.42,18.9,0.22,0.0544,0.444,0,0,0,0,0,0,0.514,0.39,0.12,0.26,0.23,0,0,0,24.8,0.12,0.43,0.57,18.5
2020,365,916.3,193.5,33.43,104.6,1356,260.1,3732,42.8,5.96,20.8,0.236,0.051,0.471,0,0,0,0,0,0,0.581,0.46,0.099,0.22,0.22,0,0,0,22,0.14,0.49,0.51,21.4
2021,365,895,193.3,31.66,102.2,1087,263.5,3102,34.3,5.49,19.1,0.252,0.0704,0.532,0,0,0,0,0,0,0.568,0.42,0.1,0.18,0.3,0,0,0,15.2,0.16,0.56,0.44,26.1
2022,365,916.2,191.7,28.17,104.6,1152,228.8,2768,36.3,5.43,19.9,0.247,0.0618,0.519,0,0,0,0,0,0,0.581,0.44,0.074,0.21,0.27,0,0,0,16.4,0.15,0.55,0.45,25.2
2023,366,702.1,143.8,27.68,79.93,507.6,217.9,875.5,16.1,3.72,12.3,0.272,0.138,0.462,0,0,0,0,0,0,0.445,0.0055,0.44,0.21,0.34,0,0,0,3.8,0.23,0.76,0.24,43.6
