year,month,waterMonth,waterYear,flowMean,flowMin,flowMax,flowMedian,flowChange,flowChangePercent,volume,flowMeanVariance,flowMeanCalMonthExceedance
1970,4,7,1969,3484,2716,4057,3482,-1341,-0.49360287842946393,9031,3.8456189151599443,0.2763320463320463
1970,5,8,1969,1988,1432,2671,1967,-1240,-0.8656992765956877,5324,0.4758723088344469,0.5878402903811252
1970,6,9,1969,1057,779,1392,1058,-613,-0.7862181816922856,2739,-0.5823785065191623,0.5853333333333334
1970,7,10,1969,619,538,752,602,-214,-0.3977795410693906,1659,-0.7912310286677909,0.36973451327433626
1970,8,11,1969,471,422,533,467,-110,-0.2604905300227321,1261,-0.7877422262280307,0.17391304347826095
1970,9,12,1969,375,335,420,377,-85,-0.2528257597900176,972,-0.6882793017456359,0.09988066825775657
1970,10,1,1970,326,320,338,324,-12,-0.03660462278144215,874,-0.4465195246179966,0.07323699421965313
1970,11,2,1970,379,326,431,385,105,0.2443324371138509,982,-0.015584415584415584,0.06970350404312668
1970,12,3,1970,550,440,673,551,233,0.3462861078656342,1473,0.9097222222222222,0.13022222222222235
1971,1,4,1970,850,685,989,844,305,0.3080562400135332,2278,2.5564853556485354,0.2014563106796117
1971,2,5,1970,1385,998,2102,1214,1104,0.5253781440007651,3351,4.018115942028985,0.26063694267515924
1971,3,6,1970,2781,2139,3139,2915,941,0.3054854546403179,7449,5.4375,0.34171428571428575
1971,4,7,1970,2570,2113,3032,2559,-908,-0.42988125434498564,6662,2.5744089012517386,0.630411622276029
1971,5,8,1970,1688,1366,2077,1678,-711,-0.5203989333143194,4522,0.25315515961395696,0.7377777777777775
1971,6,9,1970,1039,752,1328,1047,-576,-0.7663552275040064,2692,-0.5894903200316081,0.6300215982721382
1971,7,10,1970,589,489,734,564,-245,-0.49965502244492316,1579,-0.8013490725126475,0.42391304347826103
1971,8,11,1970,437,389,477,440,-88,-0.2267398553204244,1169,-0.8030644434429923,0.27
1971,9,12,1970,353,324,387,350,-63,-0.19437381843782683,915,-0.7065669160432253,0.16127272727272726
1971,10,1,1971,292,276,320,291,-21,-0.07030825159345462,783,-0.5042444821731749,0.15
1971,11,2,1971,344,306,403,335,97,0.24046095197183046,892,-0.10649350649350649,0.15526315789473677
1971,12,3,1971,448,392,533,440,125,0.23382195307379666,1200,0.5555555555555556,0.37
1972,1,4,1971,719,548,844,720,287,0.343258099692826,1925,2.00836820083682,0.33
1972,2,5,1971,829,818,835,835,0,0,2078,2.003623188405797,0.7
1972,3,6,1971,990,835,1132,989,298,0.2628169925513522,2652,1.2916666666666667,0.8595774647887324
1972,4,7,1971,1574,1142,1881,1624,739,0.3930353644617664,4079,1.1891515994436717,0.8272525439407956
1972,5,8,1971,1699,1466,1881,1726,-415,-0.282788779551255,4551,0.2613214550853749,0.717986577181208
1972,6,9,1971,1154,819,1447,1157,-627,-0.7658175716746598,2992,-0.5440537337020941,0.5310794602698651
